S=1,S=2,S=3,S=4,S=5,t
13.12000102,13.18846131,13.25486764,13.318713,13.3793337,14.3
13.24410208,13.31295834,13.37974699,13.4439594,13.50492989,14.4
13.36857082,13.43781706,13.50498163,13.56955429,13.63086748,14.5
13.49432124,13.56392719,13.63143635,13.69633711,13.7579603,14.6
13.6205931,13.69054426,13.75838288,13.82359604,13.88551312,14.7
13.74720711,13.81749183,13.88564781,13.9511609,14.01335912,14.8
13.87388756,13.94450299,14.01297327,14.078783,14.1412589,14.9
14.00052983,14.07147749,14.14026335,14.20637081,14.26912525,15
14.12723766,14.19851455,14.26761277,14.33401451,14.39704384,15.1
14.25525857,14.32680871,14.39616154,14.46279834,14.52604234,15.2
14.38353,14.45533871,14.52493085,14.59178688,14.65522927,15.3
14.51020344,14.58234304,14.65224839,14.71939876,14.78311534,15.4
14.63734178,14.70979425,14.77999396,14.84741908,14.91138972,15.5
14.7649199,14.83766508,14.90813813,14.97581626,15.04001863,15.6
14.8928338,14.96585373,15.03658135,15.10449301,15.16890705,15.7
15.02113628,15.09440619,15.16536273,15.23348151,15.29808027,15.8
15.14977963,15.22327424,15.2944334,15.36273209,15.42748766,15.9
15.27868074,15.35237587,15.42371263,15.49216553,15.55705166,16
15.40784754,15.4817144,15.55319878,15.62177485,15.68675967,16.1
15.53724489,15.61125054,15.6828486,15.75151302,15.81656111,16.2
15.66672334,15.74084894,15.81254122,15.88127405,15.94636504,16.3
15.79597438,15.87024452,15.94205593,16.0108823,16.0760415,16.4
15.92491815,15.99936271,16.07132356,16.1402741,16.20553226,16.5
16.05435328,16.12889874,16.20093353,16.2699311,16.33520992,16.6
16.18357555,16.2582472,16.33038164,16.39945226,16.46477795,16.7
16.31286676,16.38764439,16.4598576,16.52897987,16.59433064,16.8
16.44226577,16.5171165,16.58937463,16.65851385,16.72385443,16.9
16.57173174,16.64662089,16.71888823,16.78800789,16.85330116,17
16.70108639,16.77602891,16.84832055,16.91743581,16.98269696,17.1
16.83053957,16.90546596,16.97771061,17.04674869,17.11190391,17.2
16.95994896,17.03481268,17.10696268,17.17587501,17.24087512,17.3
17.08929429,17.16411098,17.23618227,17.3049851,17.36984659,17.4
17.21855876,17.29328706,17.36523722,17.43388728,17.4985663,17.5
17.34757192,17.42212252,17.49386026,17.5622646,17.62666708,17.6
17.47641267,17.55075481,17.62224866,17.69037532,17.75446898,17.7
17.60489733,17.67896628,17.75015019,17.81793205,17.88164912,17.8
17.73308459,17.8068384,17.87766964,17.94506339,18.00836023,17.9
17.86099225,17.93439674,18.00484057,18.07181113,18.13465253,18
17.98871855,18.06175689,18.13179639,18.19832682,18.260696,18.1
18.11604993,18.1886761,18.2582644,18.32430724,18.38615642,18.2
18.24331729,18.31553265,18.38467148,18.45022886,18.51156065,18.3
18.3705193,18.44232526,18.51101637,18.57609046,18.63690749,18.4
18.49744209,18.56881282,18.63703031,18.70159532,18.76187209,18.5
18.62389079,18.69477726,18.76247136,18.82647699,18.88616299,18.6
18.74981758,18.82016964,18.88728952,18.95068454,19.00972842,18.7
18.87380596,18.94344517,19.00980959,19.07241062,19.13062775,18.8
18.99708314,19.06595852,19.13151643,19.19327258,19.25061252,18.9
19.11852122,19.18649752,19.25111209,19.31188545,19.3682099,19
19.23929613,19.30633795,19.36997455,19.4297315,19.48500799,19.1
19.35911298,19.42516131,19.48776083,19.54644242,19.60061254,19.2
19.47676879,19.54169058,19.60311896,19.66059059,19.71351982,19.3
19.59313353,19.65686095,19.71705075,19.77324568,19.82486832,19.4
19.7083933,19.77087515,19.82977608,19.88464522,19.93491361,19.5
19.82218139,19.88334479,19.94088444,19.9943561,20.04319966,19.6
19.93476365,19.99455864,20.05068825,20.10271518,20.15008841,19.7
20.04570185,20.10405277,20.15869731,20.20920541,20.25503546,19.8
20.15525114,20.21210232,20.26520736,20.31414367,20.35837934,19.9
20.26318565,20.31847757,20.36998525,20.41729379,20.45988129,20
20.36939022,20.42305996,20.47290894,20.51853027,20.55941225,20.1
20.47411279,20.52611331,20.57425849,20.61814962,20.65728544,20.2
20.57687731,20.62713952,20.6735134,20.7156087,20.75293483,20.3
20.67819127,20.72668086,20.7712517,20.81152215,20.84701245,20.4
20.77755517,20.82421555,20.86692901,20.9053227,20.93892787,20.5
20.8807428,20.92576853,20.96682317,21.00354225,21.0354674,20.6
20.9762313,21.01932185,21.05841759,21.09316321,21.12311164,20.7
21.07372915,21.11499862,21.15225309,21.18514615,21.2132417,20.8
21.1705652,21.21001549,21.24543317,21.27648072,21.302733,20.9
21.26682349,21.30446313,21.33805526,21.36727129,21.39169691,21
21.3609952,21.39677605,21.42849706,21.45583866,21.47839748,21.1
21.45330749,21.48719082,21.51700448,21.54243799,21.56309901,21.2
21.54122367,21.57308336,21.600866,21.6242705,21.64291579,21.3
21.62861279,21.65847067,21.68424723,21.70565063,21.72231093,21.4
21.71451836,21.74236176,21.76612242,21.78551776,21.80018889,21.5
21.80047495,21.82635006,21.84814409,21.86558358,21.87832043,21.6
21.88813476,21.91213969,21.93206794,21.94765486,21.95856278,21.7
21.97376955,21.99587204,22.01390477,22.02761189,22.03666613,21.8
22.06150431,22.08181136,22.09805788,22.10999648,22.1173099,21.9
