T=1,T=2,T=3,T=4,T=5,t
21.25563889,21.22948025,17.23205252,16.91422962,16.6152338,21
21.35975978,21.31868769,17.26341462,16.94041761,16.63815074,21.1
21.46226331,21.4059415,17.2907963,16.96404975,16.65929386,21.2
21.56104235,21.48848388,17.29524144,16.97063999,16.66699948,21.3
21.65923595,21.57056311,17.31089643,16.98565748,16.68147691,21.4
21.75605597,21.65113414,17.32818872,17.00209133,16.69721802,21.5
21.852746,21.73188329,17.3589501,17.02913151,16.72171339,21.6
21.95070044,21.81459196,17.41015313,17.07268077,16.76001245,21.7
22.04683295,21.89519991,17.4552879,17.11202696,16.79520576,21.8
22.14457853,21.97818472,17.51955225,17.16714764,16.8437817,21.9
22.23693009,22.05450834,17.55172271,17.19771798,16.87260101,22
22.32494087,22.12569969,17.5627886,17.21255542,16.88899235,22.1
22.41233637,22.19648595,17.58240639,17.23356058,16.91026048,22.2
22.50084106,22.26901345,17.62066195,17.26873194,16.94298016,22.3
22.58457543,22.33594541,17.63479977,17.28589416,16.96142397,22.4
22.6661776,22.40061512,17.64548212,17.30027159,16.9776051,22.5
22.74570293,22.4631422,17.65432775,17.31302144,16.99241921,22.6
22.82376952,22.52433663,17.66678322,17.32819238,17.00907216,22.7
22.9023632,22.58660427,17.69444267,17.35467312,17.03471758,22.8
22.97558824,22.64279354,17.69719847,17.36264999,17.04573526,22.9
23.05415718,22.70585437,17.74423232,17.40383355,17.0832118,23
23.12641533,22.76178124,17.76207506,17.42324976,17.10345495,23.1
23.19492933,22.81373134,17.76829375,17.43393591,17.11677196,23.2
23.25910654,22.8610771,17.76114375,17.43441875,17.12191931,23.3
23.3259114,22.91199733,17.7821178,17.45523134,17.14288101,23.4
23.3856926,22.95519376,17.77259466,17.4534386,17.14600032,23.5
23.44451176,22.99777456,17.77035773,17.45636784,17.15251911,23.6
23.4973559,23.0339969,17.74660857,17.44312349,17.14616804,23.7
23.55095209,23.07165707,17.74266024,17.44349077,17.15001572,23.8
23.60270755,23.10778129,17.74143414,17.44558696,17.15504262,23.9
23.65182003,23.14144788,17.7377406,17.4456389,17.15830701,24
23.69922515,23.1737647,17.73734867,17.44792665,17.16318207,24.1
23.73997784,23.19918802,17.71533263,17.43397585,17.15512281,24.2
23.78444943,23.22940904,17.72493164,17.44312922,17.16504078,24.3
23.83166935,23.26326571,17.75471536,17.46808819,17.1877797,24.4
23.87782381,23.29643832,17.78549102,17.49432758,17.21178557,24.5
23.91544295,23.32063696,17.78541755,17.49732244,17.21725959,24.6
23.95649559,23.34914017,17.80761012,17.51716349,17.23616645,24.7
24.00153512,23.38250398,17.85015333,17.55320409,17.26840858,24.8
24.04065395,23.40977714,17.87272898,17.57417734,17.28862855,24.9
24.07600357,23.43335334,17.88442963,17.58702409,17.3023914,25
24.10708156,23.45274261,17.88447576,17.59106992,17.30912212,25.1
24.13452424,23.4686458,17.87596401,17.58845991,17.31043946,25.2
24.16374914,23.48698295,17.88314993,17.59715834,17.32052047,25.3
24.19477508,23.50774669,17.90355864,17.61588657,17.33862087,25.4
24.21671938,23.51919794,17.89319964,17.61163082,17.33848062,25.5
24.23382083,23.52594941,17.87121538,17.5982761,17.33091887,25.6
24.2415485,23.5231956,17.81946389,17.56236971,17.30533106,25.7
24.24819958,23.51981827,17.77592984,17.53096079,17.28250235,25.8
24.25392939,23.5159795,17.73996238,17.50403662,17.26259193,25.9
24.25573242,23.50847277,17.69778981,17.47176906,17.23802484,26
24.24154515,23.48458947,17.59894867,17.39743393,17.18026692,26.1
24.2254293,23.45926681,17.51163421,17.32874919,17.12548099,26.2
24.20746202,23.43257362,17.43351384,17.26489059,17.07333816,26.3
24.1970915,23.41437399,17.39801471,17.23161082,17.04443539,26.4
24.18705136,23.39702718,17.3717134,17.20537959,17.0209559,26.5
24.18044346,23.38367217,17.36186239,17.19203757,17.00776762,26.6
24.18011515,23.37723117,17.37499503,17.19720955,17.00974343,26.7
24.17886418,23.37018277,17.38637064,17.20178979,17.01155167,26.8
24.17574715,23.36154275,17.39319232,17.20349711,17.01130349,26.9
24.1701083,23.35064831,17.3940334,17.20114055,17.00799867,27
24.16247435,23.33800693,17.39022942,17.19558534,17.00225797,27.1
24.15290849,23.32368127,17.38225403,17.18710313,16.99425946,27.2
24.13808132,23.30429577,17.36074157,17.16852392,16.97823505,27.3
24.11842694,23.28026462,17.32689595,17.14054112,16.95463023,27.4
24.09914208,23.25695456,17.29980739,17.11723251,16.9345256,27.5
24.08021065,23.23433045,17.2783431,17.09798601,16.91754241,27.6
24.05810159,23.20876063,17.25034558,17.07374014,16.89650116,27.7
24.02997966,23.17738007,17.20784987,17.03837842,16.86646909,27.8
23.99569238,23.14002993,17.15099825,16.99175754,16.8272098,27.9
23.96258896,23.10418963,17.10487317,16.95232337,16.79319283,28
23.93331074,23.07264423,17.07885402,16.9277354,16.77078741,28.1
23.8982797,23.03543596,17.03619036,16.89046708,16.73814865,28.2
23.87688825,23.01221956,17.03540467,16.88513692,16.73109325,28.3
23.85053535,22.98422317,17.02157558,16.8702092,16.71647003,28.4
23.81887957,22.95108578,16.99392852,16.8449034,16.69355167,28.5
23.78058752,22.91145782,16.94892884,16.80636745,16.65996692,28.6
23.73740776,22.86712459,16.89334257,16.75941961,16.61942211,28.7
23.72094732,22.84979806,16.91395914,16.77079363,16.6258013,28.8
23.72955582,22.8578067,16.98846975,16.82801617,16.6714839,28.9
23.71078665,22.83851185,16.99827374,16.83315256,16.67399404,29
23.70782477,22.83517925,17.04474569,16.8681579,16.70156661,29.1
23.69346311,22.82054934,17.06181962,16.88040629,16.71068873,29.2
23.67815031,22.8050591,17.0749849,16.88999059,16.717857,29.3
23.64207708,22.76890285,17.0297826,16.85568047,16.68994555,29.4
23.60290352,22.72977746,16.97915775,16.81647086,16.65777796,29.5
23.56114917,22.68821733,16.92549606,16.77405231,16.62263654,29.6
23.51693907,22.6443457,16.86928813,16.72880675,16.58480708,29.7
23.47748236,22.60532422,16.83067529,16.69583346,16.55627237,29.8
23.44383994,22.57220123,16.81029478,16.67631651,16.53829368,29.9
23.39866525,22.5277234,16.75923868,16.63373015,16.50188996,30
23.34954731,22.47942992,16.70027708,16.58462577,16.45997521,30.1
23.28858996,22.41952933,16.61253073,16.51338622,16.40015195,30.2
23.25679375,22.38866133,16.60986497,16.50518637,16.38996608,30.3
23.20467291,22.33780014,16.55512512,16.45767329,16.34835073,30.4
23.15961422,22.29402181,16.52197346,16.42609253,16.31919336,30.5
23.11435925,22.25011731,16.48897109,16.39466493,16.29010938,30.6
23.09143895,22.22837565,16.51015192,16.40578011,16.29576274,30.7
23.06521031,22.20343099,16.52153061,16.40992343,16.29607581,30.8
23.04283528,22.18235086,16.53976076,16.42017246,16.30175684,30.9
23.00960402,22.15061013,16.53054615,16.40959343,16.29073087,31
22.9773763,22.11988244,16.52258338,16.40018232,16.28075689,31.1
22.92742185,22.07172282,16.46852085,16.35615699,16.24316129,31.2
22.87928689,22.02541692,16.42251127,16.31735636,16.20934951,31.3
22.83180465,21.97982062,16.38079307,16.28126658,16.17744172,31.4
22.79042223,21.94025242,16.35551516,16.25729635,16.15506551,31.5
22.73970768,21.89155864,16.30707057,16.21585597,16.1187027,31.6
22.68916947,21.84307655,16.26105338,16.17576773,16.08316471,31.7
22.62751572,21.78370679,16.18728841,16.11467157,16.0307741,31.8
22.55060542,21.70939195,16.075311,16.02462607,15.95519035,31.9
22.47756496,21.63892138,15.98277855,15.94668249,15.88800736,32
22.41862849,21.58234019,15.93317241,15.89959527,15.84456544,32.1
22.3588544,21.52496419,15.88235806,15.85159687,15.80028233,32.2
22.3085844,21.47693768,15.85584334,15.82217174,15.77082014,32.3
22.26482743,21.43530122,15.8433078,15.80402145,15.75064421,32.4
22.20925417,21.38215989,15.80198669,15.76438898,15.71338023,32.5
22.14685339,21.32240668,15.74544209,15.71327199,15.66688337,32.6
22.09585975,21.27383468,15.7179246,15.68399494,15.6377532,32.7
22.05280414,21.23301998,15.70727105,15.66810755,15.61962176,32.8
22.00916841,21.19169542,15.69429798,15.65102663,15.60079933,32.9
21.95966233,21.14465972,15.66649495,15.62298211,15.57330991,33
21.91123866,21.09868291,15.6403437,15.59638071,15.54706862,33.1
21.85698709,21.04708109,15.60100341,15.55992891,15.51298695,33.2
21.78913969,20.98231592,15.53126985,15.50049112,15.4604724,33.3
21.72469279,20.92087631,15.47270346,15.44864989,15.41363046,33.4
21.66340426,20.86252702,15.42339534,15.40339177,15.37183464,33.5
21.59312945,20.79546324,15.35412738,15.34290015,15.31773927,33.6
21.51426796,20.7200747,15.26692754,15.26839844,15.25217636,33.7
21.44713907,20.65607607,15.21105294,15.21648937,15.20411577,33.8
21.39297798,20.60470241,15.18528763,15.18764516,15.17460071,33.9
21.34179118,20.55625352,15.16513666,15.1636402,15.14922502,34
