b=1,b=2,b=3,b=4,b=5,t
19.49750077,19.62666355,8.860348011,8.269750777,7.716796494,10.2
19.46184003,19.589077,8.959522076,8.362566462,7.803235343,10.3
19.41374935,19.53217916,9.060004983,8.456740313,7.89108702,10.4
19.37499465,19.48995625,9.160891433,8.551276714,7.979266883,10.5
19.33145828,19.44214357,9.262415611,8.646432931,8.068049658,10.6
19.29624501,19.4080824,9.364060594,8.741637834,8.156812046,10.7
19.27054404,19.38711122,9.46590042,8.836976,8.245650278,10.8
19.23492534,19.35130767,9.568583432,8.933166981,8.335348335,10.9
19.17352826,19.27761637,9.672811709,9.030997037,8.426769924,11
19.07732372,19.15287076,9.779127541,9.131084181,8.520602934,11.1
18.95904989,19.00120641,9.887138909,9.232999496,8.616380577,11.2
18.81293125,18.81863905,9.996714889,9.336600272,8.713943474,11.3
18.66986919,18.64914547,10.10767351,9.441699433,8.81310319,11.4
18.57918129,18.56425047,10.21822182,9.546252529,8.911579291,11.5
18.46777393,18.46309524,10.32871527,9.650635757,9.009751641,11.6
18.35579359,18.3583073,10.44022255,9.756100855,9.109055455,11.7
18.25019437,18.25801214,10.55279943,9.862723897,9.209586496,11.8
18.12430742,18.12745715,10.66680031,9.970917319,9.311805505,11.9
18.07349116,18.10558913,10.77946606,10.07748225,9.412108705,12
18.04529834,18.10321749,10.89250455,10.18441425,9.512762948,12.1
18.02260762,18.10243591,11.00595663,10.29175287,9.613801089,12.2
18.00184599,18.10043065,11.11978713,10.39945546,9.715171306,12.3
17.98140973,18.09614551,11.23398205,10.50750556,9.81685338,12.4
17.94229823,18.06198837,11.34932637,10.61683306,9.919909323,12.5
17.91655259,18.04275936,11.46516009,10.72667644,10.02348873,12.6
17.86375996,17.97883648,11.58275726,10.83856151,10.12934419,12.7
17.81015194,17.91620316,11.70102411,10.95118377,10.23597461,12.8
17.75363958,17.85035461,11.82010631,11.0647297,10.34360353,12.9
17.67304365,17.75019949,11.94048275,11.1797946,10.45292904,13
17.60268539,17.66995852,12.06137808,11.2954408,10.56286661,13.1
17.54960243,17.61535684,12.1826926,11.41155551,10.67329315,13.2
17.5201168,17.5955882,12.30389021,11.52746294,10.78340257,13.3
17.49200371,17.57517223,12.42560362,11.6439604,10.8941417,13.4
17.44448268,17.52577923,12.54827258,11.76161005,11.00618016,13.5
17.36675708,17.43166438,12.67219633,11.8808261,11.12003603,13.6
17.31339032,17.37369546,12.79652146,12.00053355,11.23443988,13.7
17.27509481,17.33931207,12.92098196,12.12037095,11.34893679,13.8
17.23565598,17.30005988,13.04611528,12.24107061,11.46443893,13.9
17.18717906,17.24657924,13.17196932,12.36271407,11.58105547,14
17.1995576,17.28212452,13.29655335,12.48257922,11.69539627,14.1
17.20814079,17.3098843,13.42147562,12.60285149,11.81017086,14.2
17.18941391,17.29143105,13.54773676,12.7249524,11.92719189,14.3
17.1858009,17.29548656,13.67394501,12.84694024,12.04400915,14.4
17.18243248,17.2984626,13.80046629,12.9693404,12.16129346,14.5
17.14814935,17.25309286,13.92802653,13.09324689,12.28047519,14.6
17.11156337,17.20610326,14.05599902,13.21776776,12.40042001,14.7
17.08815155,17.17788173,14.18423271,13.34269669,12.52087704,14.8
17.08423773,17.17689435,14.31251485,13.46769926,12.64139976,14.9
17.09436797,17.19528359,14.44076857,13.59264463,12.76180281,15
17.11690766,17.22792865,14.56906853,13.71766388,12.88227323,15.1
17.09408879,17.19205365,14.69830557,13.84432521,13.00499352,15.2
17.07532496,17.16433686,14.82770008,13.97130906,13.12815222,15.3
17.12724298,17.23801138,14.95597147,14.09625769,13.24839701,15.4
17.16705342,17.29459512,15.08457939,14.22177766,13.36938504,15.5
17.19543819,17.33414485,15.21348997,14.34785005,13.49111234,15.6
17.21534748,17.3609999,15.34261753,14.47435276,13.61342285,15.7
17.22821433,17.37577985,15.4719779,14.60137081,13.73647165,15.8
17.22832948,17.37297405,15.60152272,14.72885341,13.86019792,15.9
17.2273435,17.367934,15.73118199,14.85670676,13.98449594,16
17.21040796,17.34269614,15.86093762,14.98495591,14.10941712,16.1
17.19141405,17.31454394,15.99073921,15.11358015,14.23498455,16.2
17.18281613,17.30219839,16.12051783,15.24236332,14.36084784,16.3
17.20276363,17.33318151,16.25019996,15.37080181,14.48609224,16.4
17.24742831,17.39721218,16.37973889,15.49878557,14.61054571,16.5
17.26340797,17.41728917,16.50936208,15.62758958,14.73647306,16.6
17.30469004,17.47242086,16.63890643,15.75606245,14.86179367,16.7
17.3463591,17.52537663,16.76840764,15.88468857,14.98741577,16.8
17.38192274,17.56766013,16.89783838,16.01355974,15.11354232,16.9
17.41178626,17.6001573,17.027152,16.14263861,15.24014652,17
17.4565615,17.65440603,17.15642788,16.27153851,15.36639565,17.1
17.48043985,17.67616812,17.28544353,16.40081566,15.49359027,17.2
17.49851441,17.68803472,17.41418218,16.53022654,15.62128061,17.3
17.53648732,17.73011766,17.54292995,16.65951191,15.74868598,17.4
17.56779115,17.76161653,17.67139037,16.78887112,15.87647559,17.5
17.57645248,17.7571394,17.79917266,16.91830028,16.00502586,17.6
17.58734604,17.75831559,17.92663567,17.04766395,16.13372648,17.7
17.58883912,17.7456328,18.05344506,17.1768897,16.26276467,17.8
17.59057537,17.73560477,18.17976578,17.30595657,16.39194118,17.9
17.59638034,17.73349359,18.30565219,17.43485602,16.52119091,18
17.61206985,17.7472847,18.43127925,17.56363156,16.65043198,18.1
17.62364368,17.75598885,18.5563062,17.69215821,16.77974257,18.2
17.65021702,17.78696457,18.68127026,17.82062292,16.90897887,18.3
17.68899209,17.83444561,18.80617025,17.94902423,17.03813889,18.4
17.73238775,17.88596006,18.93067761,18.07723197,17.16729778,18.5
17.76920959,17.92792902,19.05449578,18.20511854,17.2964758,18.6
17.80039609,17.96162676,19.17757548,18.33263707,17.42563509,18.7
17.79162802,17.93200961,19.29799105,18.4587167,17.5545781,18.8
17.78732772,17.91216118,19.41749367,18.58422847,17.68331375,18.9
17.76016827,17.85786496,19.53463549,18.70824848,17.81144723,19
17.74994339,17.83244549,19.6509875,18.83170085,17.93928513,19.1
17.73692673,17.80686442,19.76615431,18.95434822,18.06671129,19.2
17.70384433,17.75200925,19.87867266,19.07514679,18.19313115,19.3
17.67353602,17.7051708,19.9896588,19.19481403,18.31887135,19.4
17.65221007,17.67360778,20.09936545,19.31349594,18.44398479,19.5
17.62743724,17.63961693,20.20734299,19.43087166,18.56826361,19.6
17.61071581,17.61771109,20.31395142,19.54715238,18.69179826,19.7
17.58783818,17.58921791,20.41865256,19.66195442,18.814336,19.8
17.56714208,17.56531339,20.52177931,19.77548803,18.93598048,19.9
17.55209434,17.54792659,20.62311018,19.88752311,19.05652802,20
17.53858783,17.53205674,20.72251658,19.99794981,19.17588145,20.1
17.5292301,17.52178497,20.82030067,20.10698529,19.2941712,20.2
17.5154895,17.5059846,20.91590791,20.21419401,19.41107238,20.3
17.51095092,17.50126618,21.00998417,20.32000659,19.52683763,20.4
17.50664402,17.49582905,21.10195154,20.42396297,19.64111577,20.5
17.54359991,17.55034343,21.19834673,20.53145179,19.75800339,20.6
17.53489677,17.53474271,21.28614268,20.63170355,19.86926109,20.7
17.55382549,17.56188248,21.37629658,20.73381074,19.98189031,20.8
17.57760909,17.59537904,21.46579943,20.83526533,20.0939375,20.9
17.60782715,17.63629315,21.55476451,20.93613453,20.20543506,21
17.63539188,17.67094584,21.64152174,21.03498432,20.31522834,21.1
17.65992997,17.70049414,21.72631552,21.13203471,20.42348888,21.2
17.66796311,17.70395148,21.80637103,21.22484979,20.52818906,21.3
17.68437859,17.72029534,21.88598361,21.31710573,20.63229863,21.4
17.70181438,17.73818457,21.96409398,21.4078917,20.73506744,21.5
17.73060445,17.77157068,22.04241822,21.49865773,20.83766351,21.6
17.77519329,17.82707118,22.12273769,21.59100556,20.94144793,21.7
17.81504616,17.87516229,22.20095047,21.68137034,21.04346714,21.8
17.86973268,17.94366302,22.28157091,21.77370929,21.14702301,21.9
17.90027126,17.97599834,22.35549937,21.85998486,21.24534106,22
17.91651281,17.98490683,22.42430645,21.94145872,21.33935893,22.1
17.93822637,18.00351373,22.49272448,22.02239214,21.43274343,22.2
17.9728925,18.04277788,22.56290073,22.10473957,21.52720099,22.3
17.98938788,18.05418029,22.62747774,22.18184563,21.61693003,22.4
