a=0.5,a=1.0,a=1.5,a=2.0,t
18.11313921,21.85020969,23.57470207,22.82033442,25.6
18.1045121,21.9090885,23.55014725,22.77714613,25.7
18.09625543,21.9667984,23.52610103,22.73689847,25.8
18.08872244,22.02337281,23.50272094,22.69957295,25.9
18.07766026,22.07756757,23.47562873,22.65795886,26
18.04612502,22.12424053,23.4277952,22.5848057,26.1
18.01470021,22.16897876,23.37966121,22.51407574,26.2
17.98339869,22.21177351,23.33125711,22.44552129,26.3
17.96476463,22.2567213,23.29558582,22.39937895,26.4
17.9491935,22.30076339,23.26218909,22.35799784,26.5
17.9386287,22.34534111,23.23511103,22.32761305,26.6
17.93622553,22.39180316,23.2179812,22.31329792,26.7
17.93361983,22.43700944,23.20077397,22.29897309,26.8
17.92975021,22.48051079,23.18218444,22.28261556,26.9
17.92425756,22.5219565,23.16133907,22.26286547,27
17.91687515,22.56156624,23.13893193,22.24102929,27.1
17.9076267,22.5993306,23.11504475,22.21728347,27.2
17.89383129,22.63359549,23.08528696,22.18470211,27.3
17.87466429,22.66448331,23.05029957,22.14472236,27.4
17.85740644,22.69440916,23.01701134,22.10811826,27.5
17.84191622,22.72338409,22.98530937,22.07454093,27.6
17.82367185,22.74967491,22.95050104,22.03668669,27.7
17.79996391,22.77178667,22.90892946,21.98895528,27.8
17.76998456,22.78951953,22.86049203,21.93156925,27.9
17.74273573,22.80651226,22.81479491,21.87956465,28
17.72489049,22.82415615,22.77513289,21.8370856,28.1
17.69861589,22.83758995,22.72901383,21.78574384,28.2
17.68652372,22.85692299,22.70128723,21.76333539,28.3
17.67028176,22.87256773,22.66789536,21.73209185,28.4
17.64873931,22.88424816,22.62847635,21.69184502,28.5
17.61976116,22.89113839,22.58141723,21.64048467,28.6
17.58566735,22.89405862,22.52903683,21.58180765,28.7
17.57934521,22.91031505,22.51115821,21.57623375,28.8
17.59654689,22.93961258,22.52479088,21.61633964,28.9
17.59068354,22.95316461,22.50426984,21.60370173,29
17.59928883,22.97467769,22.50378403,21.62071343,29.1
17.59798972,22.98912498,22.48920573,21.61547176,29.2
17.59528626,23.00221387,22.47370798,21.60850481,29.3
17.57043321,23.00266008,22.43258498,21.56237676,29.4
17.54185526,23.00017846,22.38820967,21.51222002,29.5
17.51067879,22.99503099,22.34125294,21.45907151,29.6
17.47702425,22.98725676,22.29188509,21.40324415,29.7
17.44841876,22.98102782,22.24906923,21.35844563,29.8
17.42619682,22.97710535,22.21395705,21.32584666,29.9
17.39153526,22.96536675,22.16497657,21.27242175,30
17.3520656,22.95009892,22.11169462,21.21338346,30.1
17.30027285,22.9265634,22.04438532,21.13392406,30.2
17.28148156,22.91923635,22.01367164,21.11099504,30.3
17.24331586,22.8987846,21.95823768,21.0503553,30.4
17.21287864,22.88146168,21.91199365,21.00437896,30.5
17.18169561,22.86296899,21.86590073,20.95903866,30.6
17.17325753,22.85730169,21.84729507,20.954639,30.7
17.16188527,22.84895257,21.8246746,20.94335102,30.8
17.15421014,22.84234889,21.80675716,20.93831004,30.9
17.13601087,22.82834514,21.77568389,20.9129477,31
